date,Iloilo,Antique,Capiz,Aklan,Guimaras,Negros Occidental,Negros Oriental,Samar,Eastern Samar,Northern Samar,Leyte,Southern Leyte,Cebu,Bohol
2012-01-19,5662.5596078432945,1210.2125490196302,917.7976470588967,937.7996078431975,253.35333333332838,8245.693333335988,3378.3364705878894,2165.6313725490645,526.2745098039483,660.1019607843574,3472.513725489743,377.2274509803938,18369.46588234835,1390.118039215705
2012-01-20,5078.300784313723,2521.6913725485397,1023.2125490197126,945.8800000000975,220.4066666666606,7829.1105882376905,4248.583921568272,3876.666274509539,1376.0329411764328,1451.235686274398,5706.312156863789,867.9635294117938,18247.046274504817,3277.3301960782583
2012-01-21,7348.707450980457,1619.5047058822738,1462.131764705781,1169.9803921568255,479.96784313726704,9906.4192156892,4510.856078431476,1435.972549019604,2480.6525490194595,2095.754901960611,8078.441176471616,1014.6709803922079,24897.98862744973,3896.460392156547
2012-01-22,5911.749019607828,1357.177254901974,1178.0360784313814,998.5619607844068,304.28627450980366,8565.59411765112,4355.305098038968,1664.0929411763407,1568.3415686271817,1299.4588235293315,5210.089411766026,692.442745098092,19575.093725486055,2402.917254901547
2012-01-23,5081.136862745143,1390.0337254901085,1096.5839215686997,921.168235294211,264.9486274509727,7632.126666671438,3673.6215686267738,4271.334509804187,1436.5584313723662,1252.7250980391293,5038.854901961989,701.1419607843663,18068.941960778953,2274.749803921125
2012-01-24,5079.961568627498,1390.3411764705004,1096.2682352941902,925.4458823530351,265.0658823529335,7629.895294122424,3673.220392156185,1791.5294117646486,1436.2247058821708,1253.2360784312857,5127.312941177579,743.8454901961419,18075.712156857386,2275.0603921564193
2012-01-25,4759.818039215646,2145.222352940581,1119.1407843137695,962.2172549020529,317.32470588235645,8374.723921573472,3673.4964705875577,1537.0419607843435,1431.288627450802,1273.1898039214661,5043.280392158092,707.352156862799,18089.267843131893,2275.240392156419
2012-01-26,5640.005490195944,1922.4266666660906,1113.7447058824268,934.9937254902918,211.02235294117074,8121.3843137302265,3705.2588235287276,1486.5478431372542,3759.5733333332005,1269.2799999998988,8381.534117648878,1418.5235294116594,19919.92705881786,2477.912941176012
2012-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1590.3431372548937,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-28,6222.397647058392,2175.2356862742395,1930.8235294116937,1462.758431372512,312.7219607843066,9454.177647063458,4426.826666666763,1817.4635294116388,2524.623137254535,1324.799607843016,5811.819607842912,1085.7337254902536,18816.51215685962,3275.9290196074026
2012-01-29,4266.8733333333375,1127.8694117647494,1118.1752941177028,987.4305882353971,225.52705882352353,6844.831764708344,3124.1149019603035,4211.930588235404,963.4886274510825,1181.952156862727,4126.282352940581,621.3184313725855,16971.229411762793,1839.01725490181
2012-01-30,5551.650588235275,1877.672941176345,1164.356470588266,1131.0850980392247,265.1799999999969,8185.332941177882,2994.3356862741157,2216.2874509804133,563.1243137255099,624.7709803921846,3968.0611764700625,528.8305882353038,19548.32784313392,1405.282745098058
2012-01-31,11032.534901960986,3532.3050980390067,2162.4125490195524,1251.9549019607846,712.0949019607742,17866.365882352446,6536.767450980693,3852.1070588239118,2544.9611764704123,2356.267058823364,8646.109411765916,1228.733333333329,30501.10470588093,4249.417647058616
2012-02-01,6060.475294117615,2172.6498039210383,1376.8560784311942,1203.699999999931,338.7968627451001,10668.375686278217,3668.9011764701677,2417.5243137255134,1883.0180392153454,1394.0474509801916,6137.25137255102,1040.8729411765053,21280.389803916674,2648.9121568623323
2012-02-02,5065.693333333304,1964.4870588229503,1141.109803921607,1001.7070588236368,250.77843137254115,8117.031764710794,3345.023137254415,2961.0027450981274,1512.8815686272312,1340.0525490194636,4009.6101960772676,725.8211764706512,19577.065490190864,2133.984705882007
2012-02-03,5043.703529411731,1929.210196077863,1141.0262745098423,998.6372549020684,253.59450980391355,8035.415294122653,3347.02784313671,0.0,1509.794509803704,1331.9615686273132,3988.9898039204018,726.1007843137882,19490.570980386954,2138.5113725486644
2012-02-04,5013.334509803644,1961.9125490191195,1137.8709803921977,995.0007843138325,348.5298039215721,8259.894509807444,4022.371764705158,497.77137254902914,1512.346666666447,1355.251372548871,4018.185490194913,724.6615686275132,19671.45607842639,2095.9521568624127
2012-02-05,5064.624313725457,1987.4341176464807,1139.6019607843532,990.8215686275574,252.03019607842336,8086.969019612842,3333.0980392151423,2599.701176470522,1512.3454901958585,1343.0086274508333,4025.49254901844,724.5223529412388,19495.212549014403,2142.5396078427857
2012-02-06,6284.312941176169,3051.660392156651,2529.8482352940555,1533.2470588234921,439.681960784315,10734.072156864488,4578.749411764836,811.7435294118212,2616.645490195589,2659.219999999822,5878.744705883574,1177.542745098026,21517.62705881991,3637.370196078042
2012-02-07,5705.9376470587895,2208.34039215632,1506.8494117644702,1199.807058823495,519.0968627451143,9232.76117647394,4567.417254902248,535.9396078431357,1509.0125490193914,1340.4160784312273,4922.565490196246,1124.937254901965,18895.77999999662,2719.6290196074942
2012-02-08,5069.7298039215375,1939.3454901955006,1139.2498039216082,1001.4443137255978,320.3505882352946,8169.394901965743,3330.062352940632,1782.962352941217,1750.4847058819287,1787.5223529409066,4021.4301960772646,726.76823529418,19271.73294117126,2147.932941176115
2012-02-09,5964.133333333228,2259.8082352935976,1472.4098039214582,1246.0674509803475,488.3513725490321,8286.07843137741,3404.8560784308456,1658.0862745098675,3212.544313724929,1733.3980392155306,5002.062745098206,1201.9470588235033,19187.99450979886,2134.6952941174004
