date,DNB_BRDF_Corrected_NTL,DNB_Lunar_Irradiance,Gap_Filled_DNB_BRDF_Corrected_NTL,Latest_High_Quality_Retrieval,Mandatory_Quality_Flag,QF_Cloud_Mask,Snow_Flag
2012-01-19,21.733953299400767,0.5,21.923586392804612,0.03396567224386008,0.014490954439265527,18.793525444310006,0.0
2012-01-20,28.488267080926896,0.5,27.802953806870914,0.049842209400008886,0.07983975255745847,37.63567504531995,0.0
2012-01-21,19.91145275756813,0.5,21.199934295171335,0.2160415362684087,0.014784397070588137,65.97783355509861,0.0
2012-01-22,18.401624464685607,0.5,18.264755817864074,0.016959224784183533,0.006435587827704167,47.463276197617205,0.0
2012-01-23,18.080945349331788,0.5,17.632629183250515,0.30646698490319213,0.43911329695147194,55.7780303536806,0.0
2012-01-24,22.152651349710805,0.5,21.71806924375621,0.04180585287418665,0.006438424023387084,48.86468846860942,0.0
2012-01-25,16.26979612008621,0.5,18.962649706916125,0.8749675242098464,1.4327872573871585,104.74309081652379,0.0
2012-01-26,22.89472083702824,0.5,21.44982961247767,0.3724698796005774,0.44933462847509165,47.430963017169844,0.0
2012-01-27,,,,,,,
2012-01-28,,0.5,18.568146931543254,2.1191465207727833,,315.81129519201295,0.0
2012-01-29,18.106423360081223,0.5,17.997314034639903,0.03385565610983558,0.00140730030132783,38.030856252124266,0.0
2012-01-30,21.779831461473872,0.5,21.906167054643344,0.04708121619182537,0.0021779049408549357,43.058185579276916,0.0
2012-01-31,18.465335141495324,0.5,19.350887925548072,1.0460612237091602,1.9645314400813674,235.2250142752211,0.0
2012-02-01,,0.5,19.328243458816797,1.7744479387480916,,739.5122670193483,0.0
2012-02-02,,29.900000000000002,17.302960678297985,2.7709107960045825,,750.4197807577235,0.0
2012-02-03,,40.1,17.313102428728094,3.7706582420792167,,745.0138272720769,0.0
2012-02-04,15.419944648445275,54.1,17.562258620784643,4.435868193863664,0.08763996165186404,611.0308855208286,0.00107765299855186
2012-02-05,26.590119753991477,72.2,22.20028770302897,1.8216976028253082,0.13299879740412632,45.306896499658905,0.021462426341298715
2012-02-06,22.97524016672494,96.7,19.97652326788421,1.4886002277888648,0.057793463753738096,46.92295619563693,0.010251030472241272
2012-02-07,21.70744763629987,135.20000000000002,18.677755568639544,1.645496947655005,0.1323409768885407,58.58140833755205,0.00561462996423426
2012-02-08,18.149370513675787,111.2,17.87566825210535,2.4154274850550115,0.2795570380253504,153.21318316277865,0.0018155642987436303
2012-02-09,29.558256710039885,81.7,18.29453718047225,2.9809624836365125,0.08937917126806552,179.73231329067224,0.0029243873838487814
2012-02-10,30.09502826079131,58.900000000000006,17.3895095657162,3.907583350110456,0.09774273679663031,227.6218556689662,0.0003662856338465164
2012-02-11,,42.6,17.32653920727688,4.9035049493481315,,231.393931704788,0.0
2012-02-12,,30.0,17.30253424347035,5.934409243445743,,719.898797855345,0.0
2012-02-13,,20.400000000000002,17.300693861717374,6.922273703678739,,751.1194256519746,0.0
2012-02-14,21.88872239042645,13.4,18.98391472389097,3.625382779986035,0.02990559401149661,100.07361533453658,0.03128953560872459
2012-02-15,,0.5,17.302929418451193,4.540803646256938,,740.8377390895098,0.0
2012-02-16,,0.5,17.30892643809948,5.545778738275042,,402.43024411569456,0.0
2012-02-17,,0.5,17.31104552376703,6.525025541887331,,739.9574834287542,0.0
2012-02-20,,0.5,17.52622183000183,1.033632602788149,,645.8504327809369,0.0
2012-02-21,25.631212817683334,0.5,25.394338553330805,0.04992068458261979,0.0334270929270971,37.50877409651784,0.0
2012-02-22,21.216570899031957,0.5,21.074645773170886,0.011544303658014298,0.002852220042672321,37.64468387777335,0.0
2012-02-23,19.52522972065027,0.5,19.462064829402113,0.010781489274972739,0.0035325654044094748,48.809477905452304,0.0
2012-02-24,19.326332006551983,0.5,19.28363877931754,0.00937334352175021,0.002919655607699937,48.37699620687996,0.0
2012-02-25,12.58621364173843,0.5,18.010517041929802,0.699434759342841,0.02700742440426737,144.6788848983702,0.0
2012-02-26,15.316313391048821,0.5,17.287498059216887,1.2403534492352972,0.0,135.6540171118674,0.0
2012-02-27,24.08125830029457,0.5,21.463803990628197,0.31346385363559787,0.002961317786414956,63.82728515105172,0.0
2012-02-28,21.793843268839744,0.5,17.915434300960463,0.4843620626842276,0.03626776239585402,74.62233571446319,0.0
2012-02-29,19.382843731907098,0.5,19.337343434482257,0.020495350083107836,0.005555402387582369,47.92177699630482,0.0
2012-03-01,20.669722728047716,0.5,20.088517477717875,0.05496836328404412,0.016926010667942745,51.94938952370578,0.0
2012-03-02,29.75173893521827,24.0,24.151695830125366,0.4743721413060458,0.3678091563630814,44.286977279732874,0.009121557645230987
2012-03-03,,33.2,16.6901135856602,1.3235566303288033,,751.4264695351371,0.0
2012-03-04,22.53871907483834,45.300000000000004,17.03082552004914,2.0791530716209725,0.10091368541855178,204.25618772231627,0.0003149025189427045
2012-03-05,18.110463407465456,61.5,16.902729869869535,2.907625102447343,0.04871656706182031,327.8028727813374,0.00035337207030302714
2012-03-06,10.471037986500072,83.30000000000001,16.953244727077063,3.0961610086491134,0.08697161185312842,152.03919550853203,0.0007067451199942356
2012-03-07,24.63931717429797,117.9,20.083926992382604,1.7522584531263528,0.16072336991237093,62.994241958751736,0.004558850427074212
2012-03-08,28.129694030683776,132.3,22.622277472120597,1.7658682199361564,0.289087761758885,48.15928152581144,0.006734667010416727
2012-03-09,25.07985339845007,94.4,20.954541662364477,1.7821125451729503,0.15795668089539658,48.265634142144236,0.0038629978515947803
2012-03-10,,,,,,,
