date,DNB_BRDF_Corrected_NTL,DNB_Lunar_Irradiance,Gap_Filled_DNB_BRDF_Corrected_NTL,Latest_High_Quality_Retrieval,Mandatory_Quality_Flag,QF_Cloud_Mask,Snow_Flag
2012-01-19,0.16040486697877449,0.5,0.14678050343546065,0.763453279190283,0.008801479959070787,28.69975964239503,0.0
2012-01-20,0.1595492232446814,0.5,0.14011680006291902,1.6106754013538174,0.0017863101768999942,628.1820525491182,0.0
2012-01-21,0.23335601242870932,0.5,0.1557690503616524,2.1892039997254424,0.0005825240500574719,445.6166242306774,0.0
2012-01-22,,0.5,0.13816917670111245,3.189512121616717,,744.8602553280504,0.0
2012-01-23,,0.5,0.13821350608603242,4.187130916784077,,751.3229189529324,0.0
2012-01-24,,0.5,0.13818780272865097,5.187151605934857,,752.9891259705167,0.0
2012-01-25,0.24690470393211073,0.5,0.1625244129117583,4.329196340965932,0.001190742229322945,467.5645482482097,0.0
2012-01-26,0.22442754613807267,0.5,0.14218253451976287,5.315579123200506,0.0,724.534802804712,0.0
2012-01-27,,,,,,,
2012-01-28,0.2304273210424663,0.5,0.15299428286286204,6.7836359231855505,0.0011650472129672038,531.3016728301282,0.0
2012-01-29,0.021913908884442553,0.5,0.13184647776680608,5.715937915340229,0.0,420.06483362407437,0.0
2012-01-30,0.15233877794993553,0.5,0.13819445148904927,1.3702768013726698,0.00025509916980226096,126.28193411330511,0.0
2012-01-31,0.09623877613636973,0.5,0.127850511041711,2.1636914993921335,0.00024411409797208192,462.52951032971765,0.0
2012-02-01,0.5361266723798915,0.5,0.25554830184091265,1.977562920201599,0.018761438545173113,350.2930533129194,0.0
2012-02-02,0.23627723907258283,6.357351399437576,0.15455640815831148,2.598953284246165,0.009852828539116584,455.0196781559802,0.0
2012-02-03,0.07763890264434979,40.1,0.14588941257719543,3.5445049706343474,0.0025255026245419436,707.2720644853183,0.0
2012-02-04,,53.2,0.14557688361178683,4.524215010191268,,748.8286566556425,0.0
2012-02-05,0.11000000000000001,72.2,0.14516081645434487,5.518182688120881,0.0,737.7405976826237,0.0
2012-02-06,,96.95292101310329,0.1457518735706059,6.5162380048768656,,737.5200713160938,0.0
2012-02-07,1.9942725073193535,136.70000000000002,0.19020036259863524,6.070339846788714,0.7071291581294561,340.9030548750606,0.004210371142894269
2012-02-08,1.7750982337818053,111.2,0.15292237517874677,6.721250428829055,0.7413194766878832,635.6883754296789,0.00010756625885696671
2012-02-09,1.4478740142267095,81.7,0.1541847133112,7.20042514080316,0.37434107353893026,645.4033623175419,0.0022587173960348554
2012-02-10,0.39856916920656865,59.0,0.17782035567820428,6.335122745251115,0.08704359062559015,465.226929811929,0.004518082535693917
2012-02-11,,42.7,0.14569893619047683,7.199220339340269,,579.0712718682415,0.0
2012-02-12,0.08363117329057587,30.0,0.14711742138311792,7.5526327586043775,0.023630029939208746,531.2409006844375,4.908820582703955e-05
2012-02-13,,20.5,0.14546295859507707,8.52554517926074,,640.1603809140163,0.0
2012-02-14,,13.4,0.14543091223689342,9.525526751186844,,709.4713996906356,0.0
2012-02-15,,5.282482844525884,0.14554583364065948,10.525471176884652,,734.6056230976972,0.0
2012-02-16,,0.5,0.14564250033303824,11.525884234869647,,736.1551973797839,0.0
2012-02-17,,0.5,0.14561246346705695,12.525700852091628,,712.3211152582215,0.0
2012-02-20,0.033188934006364176,0.5,0.12600128891999776,1.3367338661188006,0.003971477735561424,457.7358466498354,0.0
2012-02-21,0.37830686151515236,0.5,0.14011539522928923,2.0631558018452876,0.029236450009310643,555.891063574297,0.0
2012-02-22,0.6539947748374252,0.5,0.4163812372538496,1.0927972055582524,0.036577218890720305,120.51041645771198,0.0
2012-02-23,0.2554506301775944,0.5,0.21498996857664063,0.21056960614685133,0.016967243205637705,70.89692678967634,0.0
2012-02-24,0.182250934733766,0.5,0.15079536178726693,0.6299073663185559,0.007843389237407896,297.1254053017251,0.0
2012-02-25,0.16698855264963347,0.5,0.15119117153822326,0.8099859049045727,0.01102954371647308,175.48944353981352,0.0
2012-02-26,0.3149238376545746,0.5,0.15897306892877103,1.664818261432476,0.018176963465911043,596.2078493246808,0.0
2012-02-27,,0.5,0.15123596910594594,2.66506625867944,,730.5517313405244,0.0
2012-02-28,,0.5,0.1512108664584338,3.6652321935724643,,733.8712290763531,0.0
2012-02-29,0.09317366269539185,0.5,0.15252505018123103,4.014671536176978,0.0028967285165866687,572.319655410098,0.0
2012-03-01,0.26733464988421735,0.5,0.20268856080923814,2.2644201387098204,0.006626200771428917,223.85103886816694,0.0
2012-03-02,,23.5,0.16820986874957725,3.267048269021334,,753.8292309668966,0.0
2012-03-03,,33.2,0.1681368179364379,4.267069035852994,,623.7671422165993,0.0
2012-03-04,,45.400000000000006,0.1683054599745662,5.2666855970791735,,737.9325509183583,0.0
2012-03-05,,61.6,0.1683614389338613,6.266534898077764,,741.0137765136847,0.0
2012-03-06,,83.30000000000001,0.16826992208904062,7.267011255000352,,752.9441104718359,0.0
2012-03-07,1.4030286741948221,115.5,0.16273607457684064,7.139316651500834,0.3754537608640724,458.2592947752693,0.014880208578840967
2012-03-08,,133.6,0.16846531776810988,8.081576948727589,,738.2309034519997,0.0
2012-03-09,,94.64399308994705,0.16839298387117238,9.082442141326794,,738.2274430034128,0.0
2012-03-10,,,,,,,
2012-03-11,0.4886117515145625,49.0,0.17009493177840282,9.932360832566488,0.1924452097504048,685.5719732190869,0.0026572313638559748
2012-03-12,0.27330356653950455,34.300000000000004,0.1864725578382705,9.865982873387903,0.008908591454177085,613.3994824783681,0.005340363674407081
