date,DNB_BRDF_Corrected_NTL,DNB_Lunar_Irradiance,Gap_Filled_DNB_BRDF_Corrected_NTL,Latest_High_Quality_Retrieval,Mandatory_Quality_Flag,QF_Cloud_Mask,Snow_Flag
2012-01-19,0.20933977005085438,0.5,0.18899699292158315,0.35782494642100904,0.010952205055417764,22.179996836785016,0.0
2012-01-20,0.31478197997868823,0.5,0.23795561098945522,0.6089649147125649,0.02826945740333129,286.5610235903628,0.0
2012-01-21,0.28329430222105206,0.5,0.20877661286789037,1.5121052580418723,0.0005840352253402578,503.7727004303431,0.0
2012-01-22,,0.5,0.1998012551811611,2.5119930519754234,,744.611885324862,0.0
2012-01-23,0.06156243584998677,0.5,0.19916188799059317,3.4048507433829407,0.005349268259060417,707.3206039855687,0.0
2012-01-24,0.2,0.5,0.1994892656060686,4.404424124965605,0.0,750.8410419750041,0.0
2012-01-25,0.15311611744577416,0.5,0.22209934000339668,3.146470243951699,0.0006197395805675439,330.2520199438375,0.0
2012-01-26,0.24706001744295486,0.5,0.2256185542408074,3.789407933625523,0.0,525.9983336757386,0.0
2012-01-27,,,,,,,
2012-01-28,0.20465258755278812,0.5,0.23320159028164322,4.922594625082931,0.0,413.33326086108593,0.0
2012-01-29,0.037829623824556215,0.5,0.20377185049193175,4.2842200429725334,0.002481779821006607,447.62463959432813,0.0
2012-01-30,0.21390174670292708,0.5,0.2154252960081851,1.7016609936856864,0.0062465979981711295,142.10298078265103,0.0
2012-01-31,0.21575303228029347,0.5,0.2550531021322378,1.2719206459180934,0.00035248273547337046,178.43742496403144,0.0
2012-02-01,0.37011882885540237,0.5,0.25556923521898495,1.911040003831812,0.0005836725055534722,613.9303525820192,0.0
2012-02-02,0.2001297759643944,0.5,0.22312243081488786,2.7456171037979162,0.009411706873456143,384.3459350867891,0.0
2012-02-03,0.2958120531154239,40.1,0.22055255301850965,3.7467038232469467,0.0,737.532452253286,0.0
2012-02-04,,53.2,0.22032966696292758,4.7460202946611485,,621.0524861029144,0.0
2012-02-05,0.26667918968014265,72.2,0.22035759956771833,5.117416470351849,0.10782858476838982,633.9829651054273,0.0014641365636908258
2012-02-06,0.8463954273350401,96.9,0.23517243147625544,5.110545862217185,0.3114265719427832,557.9732469034341,0.002877678036908906
2012-02-07,1.0807075551470775,136.70000000000002,0.2790101534009498,4.2515133874211735,0.4419797185501822,226.4940511419293,0.01434261798031764
2012-02-08,4.013936510266864,111.2,0.22068637842602326,4.951418363183466,1.3221733588698106,723.8046795214859,5.3188127659015425e-05
2012-02-09,1.3349113565892499,81.7,0.23335065397734017,5.4465122918275,0.5353986015345477,647.7215938820565,0.01589633320897744
2012-02-10,0.5975727993547455,59.0,0.22995721152680826,6.26389670707572,0.36285524785276496,696.4113670652106,0.015703395079375092
2012-02-11,1.1068817204301076,42.7,0.22076080495393285,7.229871390831319,1.0,551.9203515711471,0.00045139801654189366
2012-02-12,0.3574257425742575,30.0,0.2210590944508066,8.219695643542599,0.16831683168316833,585.1110903620047,0.0004974796194914956
2012-02-13,0.3639033583195639,20.5,0.2400375847715568,8.437547318171754,0.22332782789141575,491.06580707471517,0.026961442903029955
2012-02-14,,13.4,0.22042001283462537,9.233026551156907,,723.6029362752928,0.0
2012-02-15,0.051442149709378625,8.200000000000001,0.2204351418475026,10.010129730921275,0.0,691.2265574677335,0.0
2012-02-16,,0.5,0.22067620076080074,11.008636601367511,,735.4107143161712,0.0
2012-02-17,,0.5,0.22047504160816295,12.005476933971273,,733.8442567426721,0.0
2012-02-20,0.09311953606849831,0.5,0.17398229714152935,0.42719108457920746,0.007704037576172429,113.25698350719865,0.0
2012-02-21,0.8796874617659048,0.5,0.19476132172942281,1.2918804796276426,0.028623897254599448,587.2840189127903,0.0
2012-02-22,0.8673908439285476,0.5,0.4039430831327153,1.3217189696600324,0.045793049759872716,304.95658608839443,0.0
2012-02-23,0.2548146218367822,0.5,0.27481287035954327,0.8698494910127276,0.016801662229566194,203.4247786366004,0.0
2012-02-24,0.1745472041594556,0.5,0.20163697028365096,0.5729051962009415,0.010552959305604558,122.53892004567429,0.0
2012-02-25,0.2710968863551909,0.5,0.2179146742490399,0.5714138563287404,0.011544740243742265,141.2204414251836,0.0
2012-02-26,0.06188907253366548,0.5,0.19620336295557178,1.5475875208311909,0.0,490.8006743173848,0.0
2012-02-27,,0.5,0.19560059955329112,2.5478054267058834,,719.5506762559245,0.0
2012-02-28,,0.5,0.19565997082010247,3.5472152464531668,,719.1911457187978,0.0
2012-02-29,0.1685664136300763,0.5,0.20936475643034796,3.393940390306801,0.007327843232969004,349.19300776673435,0.0
2012-03-01,0.2059129619159357,0.5,0.2668695467042659,1.675951121741638,0.007841286351914915,149.99293231999553,0.0
2012-03-02,0.39528184034125524,23.5,0.2245134393221226,2.6731648395512946,0.003884826325411335,735.183174035547,0.0
2012-03-03,0.0,33.2,0.22355118488858228,3.6734987791907163,0.0,658.8862244486927,9.524288850764758e-05
2012-03-04,,45.39857649100418,0.223931687390348,4.674495268690375,,737.8175668260515,0.0
2012-03-05,,61.6,0.22356066210245312,5.673376679709403,,738.6202066877203,0.0
2012-03-06,,83.30000000000001,0.22342157827640208,6.673470789327096,,751.4098951069777,0.0
2012-03-07,0.8170492078960294,115.5,0.22453345197097918,7.493046672032234,0.1898009607009495,681.1569421535884,0.001183282339715722
2012-03-08,,133.6,0.2233041829095699,8.487436819041404,,738.1833962689627,0.0
2012-03-09,,94.60000000000001,0.22323172165712432,9.487029395679288,,738.2723427318722,0.0
2012-03-10,,,,,,,
